157,0.1,F13-F5,0,45.22292993630574,45.22292993630573,45.22292993630575
157,0.1,F13-F5,1,26.11464968152864,26.114649681528647,26.114649681528658
157,0.1,F13-F5,2,19.745222929936325,19.745222929936325,19.745222929936308
157,0.1,F13-F5,3,8.280254777070088,8.280254777070088,8.280254777070068
157,0.1,F13-F5,4,39.49044585987261,39.490445859872615,39.49044585987262
157,0.1,F13-F5,5,3.184713375796164,3.1847133757961665,3.18471337579619
157,0.1,F13-F5,6,26.11464968152864,26.114649681528647,26.114649681528658
157,0.1,F13-F5,7,61.78343949044586,61.78343949044584,61.783439490445836
157,0.1,F13-F5,8,0.6369426751592362,0.6369426751592363,0.6369426751592231
157,0.1,F13-F5,9,20.382165605095523,20.382165605095533,20.38216560509554
157,0.1,F13-F5,10,29.936305732484076,29.936305732484076,29.936305732484094
157,0.1,F13-F5,11,45.22292993630574,45.22292993630573,45.22292993630575
157,0.1,F13-F5,12,35.6687898089172,35.6687898089172,35.66878980891721
157,0.1,F13-F5,13,10.191082802547761,10.191082802547767,10.191082802547736
157,0.1,F13-F5,14,0.6369426751592362,0.6369426751592363,0.6369426751592231
157,0.1,F13-F5,15,4.458598726114653,4.458598726114654,4.458598726114636
157,0.1,F13-F5,16,18.471337579617835,18.47133757961784,18.471337579617852
157,0.1,F13-F5,17,16.560509554140125,16.56050955414013,16.560509554140147
157,0.1,F13-F5,18,29.29936305732485,29.29936305732484,29.299363057324822
157,0.1,F13-F5,19,14.649681528662398,14.649681528662406,14.649681528662411
157,0.1,F13-F5,20,38.853503184713375,38.853503184713375,38.853503184713354
157,0.1,F13-F5,21,10.828025477706998,10.828025477707003,10.828025477707017
157,0.1,F13-F5,22,14.649681528662398,14.649681528662406,14.649681528662411
157,0.1,F13-F5,23,12.738853503184707,12.73885350318471,12.738853503184721
157,0.1,F13-F5,24,41.40127388535032,41.40127388535033,41.401273885350335
157,0.1,F13-F5,25,8.280254777070088,8.280254777070088,8.280254777070068
157,0.1,F13-F5,26,15.923566878980889,15.923566878980877,15.923566878980857
157,0.1,F13-F5,27,27.388535031847137,27.388535031847134,27.388535031847116
157,0.1,F13-F5,28,0.6369426751592362,0.6369426751592363,0.6369426751592231
157,0.1,F13-F5,29,33.75796178343949,33.75796178343949,33.757961783439505
157,0.1,F13-F5,30,17.8343949044586,17.834394904458588,17.834394904458563
157,0.1,F13-F5,31,17.8343949044586,17.834394904458588,17.834394904458563
157,0.1,F13-F5,32,10.191082802547761,10.191082802547767,10.191082802547736
157,0.1,F13-F5,33,35.03184713375796,35.03184713375796,35.03184713375792
157,0.1,F13-F5,34,6.369426751592362,6.369426751592363,6.369426751592343
157,0.1,F13-F5,35,40.76433121019109,40.76433121019108,40.76433121019106
157,0.1,F13-F5,36,42.67515923566881,42.67515923566882,42.67515923566879
157,0.1,F13-F5,37,22.292993630573253,22.292993630573257,22.292993630573264
157,0.1,F13-F5,38,42.67515923566881,42.67515923566882,42.67515923566879
157,0.1,F13-F5,39,27.388535031847137,27.388535031847134,27.388535031847116
157,0.1,F13-F5,40,6.369426751592362,6.369426751592363,6.369426751592343
157,0.1,F13-F5,41,23.566878980891723,23.566878980891715,23.5668789808917
157,0.1,F13-F5,42,14.012738853503198,14.012738853503198,14.012738853503167
157,0.1,F13-F5,43,6.369426751592362,6.369426751592363,6.369426751592343
157,0.1,F13-F5,44,29.29936305732485,29.29936305732484,29.299363057324822
157,0.1,F13-F5,45,8.917197452229289,8.917197452229294,8.91719745222931
157,0.1,F13-F5,46,1.2738853503184724,1.2738853503184726,1.2738853503185024
157,0.1,F13-F5,47,29.29936305732485,29.29936305732484,29.299363057324822
157,0.1,F13-F5,48,58.59872611464968,58.59872611464968,58.59872611464969
157,0.1,F13-F5,49,4.458598726114653,4.458598726114654,4.458598726114636
157,0.1,F13-F5,50,22.292993630573253,22.292993630573257,22.292993630573264
157,0.1,F13-F5,51,35.6687898089172,35.6687898089172,35.66878980891721
157,0.1,F13-F5,52,3.184713375796164,3.1847133757961665,3.18471337579619
157,0.1,F13-F5,53,1.2738853503184724,1.2738853503184726,1.2738853503185024
157,0.1,F13-F5,54,2.5477707006369625,2.5477707006369603,2.5477707006369483
157,0.1,F13-F5,55,37.57961783439489,37.57961783439489,37.579617834394895
157,0.1,F13-F5,56,2.5477707006369625,2.5477707006369603,2.5477707006369483
157,0.1,F13-F5,57,29.936305732484076,29.936305732484076,29.936305732484094
157,0.1,F13-F5,58,4.458598726114653,4.458598726114654,4.458598726114636
157,0.1,F13-F5,59,33.75796178343949,33.75796178343949,33.757961783439505
157,0.1,F13-F5,60,15.923566878980889,15.923566878980877,15.923566878980857
157,0.1,F13-F5,61,18.471337579617835,18.47133757961784,18.471337579617852
157,0.1,F13-F5,62,43.31210191082801,43.31210191082801,43.31210191082803
157,0.1,F13-F5,63,2.5477707006369625,2.5477707006369603,2.5477707006369483
157,0.1,F13-F5,64,12.738853503184707,12.73885350318471,12.738853503184721
157,0.1,F13-F5,65,1.2738853503184724,1.2738853503184726,1.2738853503185024
157,0.1,F13-F5,66,48.40764331210193,48.407643312101946,48.407643312101904
157,0.1,F13-F5,67,52.229299363057315,52.2292993630573,52.22929936305728
157,0.1,F13-F5,68,61.78343949044586,61.78343949044584,61.783439490445836
